source_file,source_id,title,axiom,definitions,action,boundary,test,dg1_dependencies,dg2_new_capability,dg3_preserved_floor,dg4_collapse_if_removed,dg5_translation_registers,dg6_state,dg7_admissible,dg8_closure_pass,claim_class,proof_label,grade,recommended_atom_action,overstatement_risks,kill_conditions,lean_target,plain_summary
atlas_reference_readout.md,atlas_reference_readout,ATLAS Lean Reference Readout,"ATLAS is an external reference corpus for Lean proof patterns and project structure, not evidence for Theophysics claims.","ATLAS: autoformalized Lean 4 textbook mathematics library, machine-generated, ongoing, with some sorry-backed declarations. | Reference corpus: a collection used for pattern-matching and structural guidance, not for truth-bearing. | Proof-pattern: idiomatic Lean/mathlib usage, project layout, and proof-review metadata.","Use ATLAS as an external reference for Lean project layout, proof-review categories, and mathlib idioms. Do not import its theorems or treat its content as evidence for Theophysics claims.",Does not assert any mathematical or theological truth. | Does not provide verified proofs for Theophysics axioms. | Does not replace the need for independent verification of any Lean formalization. | Does not authorize copying ATLAS content into the canon.,"Check that ATLAS is cited only for structural or idiomatic guidance, not as proof. | Verify that no ATLAS theorem is used as a dependency in Theophysics formalizations without independent verification. | Confirm that any copied reference files are quarantined and not treated as canonical.",Lean 4 v4.29.0 | Mathlib revision 8a178386ffc0f5fef0b77738bb5449d50efeea95 | External reference corpus (ATLAS),"Provides a reference for Lean project organization, proof-review metadata, and idiomatic mathlib patterns, enabling more efficient Lean formalization work.",Preserves the requirement that Theophysics claims must be independently verified; ATLAS does not lower the evidence bar.,"Without ATLAS, Lean specialists lose a convenient reference for project structure and idioms, but no Theophysics axiom collapses because ATLAS is not a dependency.",Lean project layout | Proof-review categories | targets.yaml / report.json crosswalk,coherent,yes,yes,reference corpus,NOT_ESTABLISHED,C,quarantine as external reference; do not promote to canon,Treating ATLAS as evidence for Theophysics claims. | Assuming all ATLAS theorems are fully verified despite sorry declarations. | Copying ATLAS content into canon without permission or verification.,If ATLAS is cited as proof for any Theophysics axiom. | If ATLAS content is imported into the canon without independent verification. | If the guardrail is ignored and wholesale copying occurs.,Use ATLAS only for structural and idiomatic reference; never as a source of truth.,"ATLAS is a large Lean 4 math library that can help with project structure and proof idioms, but it is machine-generated and contains unproven declarations. It must be treated as an external reference only, not as evidence for Theophysics claims."
broad_lean_corpus_build_and_rich_iso_status_v0.md,broad_lean_corpus_build_and_rich_iso_status_v0,Broad Lean Corpus Build and Rich Isomorphism Status v0,"The broader Lean corpus contains a richer structural testing layer that goes beyond equation-shape analogy, and its full build passes locally without active proof escapes.","Rich isomorphism: a mapping that preserves roles, transitions, signature discipline, gate behavior, and passes adversarial wrong-swap checks. | Proof escape: active use of sorry, admit, axiom, or unsafe in source files (excluding expected #check_failure diagnostics). | Seed kernel: a clean compressed assumption spine with 4 front-loaded assumptions and 17 no-sorry starter theorems. | Broad corpus: a richer formal archive with reported 287 theorems, zero sorry, zero admit, including rich isomorphism and adversarial layers.",Maintain the broad corpus as a separate build layer from the seed kernel; continue to verify the rich isomorphism layer and ensure no active proof escapes; do not merge the broad corpus into the seed package until theorem inventory is normalized.,Does not claim that Lean independently proves domain-faithfulness of human labels. | Does not claim that the reported 287 theorems are all substantive; wrapper/trivial rows may exist. | Does not claim that the rich isomorphism layer is fully verified beyond the encoded model. | Does not claim that the build success implies correctness of the underlying physics/theology.,"Run 'lake build' and confirm success. | Run the proof-escape scan and confirm no active sorry/admit/axiom/unsafe in main source files. | Check that the rich isomorphism components (RichLawIso, richLaw4Iso, etc.) are present in the corpus. | Verify that the safe claim wording is used in public statements. | Ensure the seed kernel and broad corpus remain separate build layers.","Lean 4 toolchain v4.31.0 | Local Lean standard-library cache | Theophysics_Core, Theophysics_Adversarial, Theophysics_Coherence, Theophysics_Fracture, Theophysics_Fall, Theophysics_ChiEvaluator, Theophysics_NegativeInventory modules","Provides a richer structural testing layer (signature discipline, role/transition preservation, gate tests, adversarial wrong-swap checks) beyond simple equation-shape isomorphism.",The seed kernel's clean compressed assumption spine and 17 no-sorry starter theorems remain intact as a separate build layer.,"If the rich isomorphism layer is removed, the framework reverts to a weaker equation-shape analogy, losing the adversarial wrong-swap checks and signature discipline.",Lean formal verification | Structural isomorphism | Signature discipline | Adversarial testing,coherent,yes,yes,build status and structural capability,PYTHON_RUNTIME_SUPPORTED,B,record as verified build status with boundary; do not upgrade to domain-faithfulness proof,Claiming that Lean proves domain-faithfulness of human labels. | Claiming that the reported 287 theorems are all substantive without normalization. | Claiming that the rich isomorphism layer is fully verified beyond the encoded model. | Treating build success as evidence of correctness of the underlying physics/theology.,If an active sorry/admit/axiom/unsafe is found in main source files. | If the full build fails on a clean checkout. | If the rich isomorphism components are not actually present in the corpus. | If the seed kernel and broad corpus are merged without normalization.,"Formalize the rich isomorphism layer in Lean with explicit role/transition preservation and adversarial wrong-swap checks, and prove that intended mappings pass while selected false mappings fail.","This document reports that a broader Lean corpus builds successfully and contains a richer structural testing layer for isomorphisms, including signature discipline and adversarial checks. It explicitly warns against overclaiming that Lean proves domain-faithfulness. The status is coherent and admissible, but the proof label is limited to runtime support, not formal proof of the underlying claims."
canonical_derivation.md,canonical_derivation,canonical_derivation.ipynb,"The chi-field Lagrangian density, when varied, yields the equations of motion and conserved quantities that define the theoretical framework.","chi-field: a scalar field with Lagrangian density L = (1/2)(chi)^2 - (1/2)m^2chi^2 - (/4)chi^4 + J_grace chi | J_grace: a source term for the chi-field, with unresolved dimensional issues | G_eff: effective gravitational constant, G_eff = G / (1 + chi) | Gross-Pitaevskii equation: non-relativistic limit of the chi-field equation, describing Bose-Einstein condensates","Use the chi-field Lagrangian as the foundational theoretical model, deriving predictions such as the Hubble tension via G_eff, and ensure any numerical implementations are consistent with these symbolic derivations.",Does not provide numerical solutions or experimental validation. | Does not resolve the dimensional issue in J_grace. | Does not prove that the chi-field exists in nature; only that the equations are self-consistent.,Verify each symbolic derivation step using SymPy or hand calculation. | Check that the propagator residue is indeed +1. | Confirm that the non-relativistic limit yields the Gross-Pitaevskii equation. | Ensure that the modified Einstein equations reduce to standard GR when chi=0.,"SymPy symbolic mathematics library | Standard physics derivations (Euler-Lagrange, Noether's theorem, etc.)","Provides an analytic derivation of the chi-field equations and their consequences, including a prediction for the Hubble tension via G_eff.","Preserves the consistency of the theoretical framework by deriving equations from a Lagrangian, ensuring no ad-hoc assumptions beyond the stated ones.","Without this derivation, the framework lacks a rigorous foundation; numerical results would have no theoretical backing.","Symbolic mathematics (SymPy) | Theoretical physics (field theory, general relativity)",coherent,yes,yes,theoretical derivation,SYMBOLIC_SUPPORTED,B,"preserve as theoretical foundation, but flag open issues","The derivation is symbolic but not independently verified; may contain errors. | The dimensional issue in J_grace is unresolved, potentially invalidating the source term. | The claim that the chi-field explains the Hubble tension is not proven; it is a prediction that needs observational confirmation.","If the propagator residue is not +1, the theory is unphysical. | If the dimensional issue in J_grace cannot be resolved, the source term is ill-defined. | If the stability analysis fails for physically relevant parameters, the vacuum is unstable.","A rigorous symbolic derivation with clear assumptions and open problems, but not a proof of physical reality.","This document is a symbolic derivation of a chi-field theory using SymPy. It derives the field equations, shows the propagator has no ghosts, and predicts a modified gravitational constant that could explain the Hubble tension. However, it explicitly notes an unresolved dimensional issue in the source term and does not provide experimental validation."
chi_field.md,chi_field,chi_field.ipynb,The chi-field evolves as a scalar field in 1+1D according to the Klein-Gordon equation with phi^4 self-interaction and a grace source term.,"chi(x,t): scalar field value at spatial point x and time t | d'Alembertian in 1+1D: /t  /x | m: field mass squared, sets oscillation frequency | : self-coupling strength for phi^4 interaction | J_grace: external grace source term, defined as _G * Phi * tanh(chi) / (S_local + ) | _G: grace coupling strength | Phi: spatial grace distribution | S_local: local entropy | : small positive number preventing division by zero","Implement and run a numerical solver for the chi-field PDE in 1+1D, using method of lines with second-order spatial finite differences and RK4 time integration, with Neumann boundaries, and perform parameter scans to map stability regions.",Does not provide analytical proofs of existence or uniqueness of solutions. | Does not claim physical reality of the chi-field; it is a numerical implementation. | Does not extend to higher spatial dimensions or curved spacetime. | Does not include rigorous error analysis beyond reported energy drift.,"Verify that the numerical solution remains bounded for canonical parameters (m>0, >0). | Check that energy drift is below 0.5% over 1000 time steps with 128 spatial points and dt=0.01. | Confirm that the dispersion relation for linearized solutions matches  = k + m. | Verify that high local entropy suppresses the grace source in spatial profiles.","MasterEquation class (Lagrangian mechanics of 10-variable point system) | Standard numerical libraries for ODE integration (e.g., SciPy) | Finite difference discretization methods","Provides a numerical PDE solver for the chi-field, enabling simulation of spatial and temporal evolution with grace source and phi^4 self-interaction.","Preserves the ability to model chi-field dynamics as a field theory, extending beyond point mechanics.","Without this node, the project loses its field-theoretic treatment of chi, reducing chi to a point variable and losing spatial structure and propagation.",PDE solver | Method of lines | Klein-Gordon equation | phi^4 theory | Grace source term,coherent,yes,yes,implementation,PYTHON_RUNTIME_SUPPORTED,B,preserve as numerical implementation; do not treat as proof of physical reality,Interpreting numerical stability as physical stability of the chi-field. | Claiming the grace source term is physically real without empirical evidence. | Extrapolating from 1+1D results to higher dimensions or real physics.,If the numerical solver fails to reproduce reported energy drift or stability for canonical parameters. | If the discretization or boundary conditions are found to be inconsistent with the stated PDE.,A reproducible numerical implementation of a scalar field equation with a source term; no physical claims beyond the code's behavior.,"This document describes a Google Colab notebook that numerically solves a 1+1D Klein-Gordon equation with phi^4 self-interaction and a grace source term. It uses method of lines with finite differences and RK4 integration. The notebook reports stable propagation, energy drift under 0.5%, and a stability phase diagram. It is a numerical implementation, not a proof of physical reality."
chi_field_potential_search.md,chi_field_potential_search,chi_field_potential_search.ipynb,The chi-field potential V(chi) = mchi + chi defines the stability landscape; parameter regions must be mapped to determine where stable solutions exist.,"chi-field: a scalar field with potential V(chi) = mchi + chi | m: mass squared parameter, can be negative (tachyonic), zero, or positive | : self-coupling constant, non-negative | _G: grace coupling constant, strength of grace source term | STABLE: solution remains bounded over integration time | OSCILLATORY: solution oscillates without divergence | DECAYING: solution decays to zero | UNSTABLE: solution diverges","Systematically scan the chi-field parameter space (m, , _G) to map regions of stability and instability, and record the outcome at each grid point.",Does not derive the potential from first principles; it assumes the given form. | Does not provide analytical proofs of stability; relies on numerical integration. | Does not extend to full cosmological dynamics; only the potential landscape. | Does not claim physical reality of the chi-field; it is a model parameter scan.,"For each parameter set, verify that the numerical integration is performed for the specified N time steps. | Check that the classification (STABLE, OSCILLATORY, DECAYING, UNSTABLE) is consistent with the boundedness of the solution. | Confirm that the canonical parameters (m = 10 kg*m*s,  = 0.01) are reported as stable. | Reproduce the stability map by rerunning the notebook with the same parameters.",chi-field solver implementation | numerical integration method | parameter grid definitions,"Provides a stability map of the chi-field potential across parameter space, identifying stable and unstable regions.","Preserves the canonical chi-field parameters as stable, supporting the internal consistency claim.","Without this scan, the stability of the chi-field at canonical parameters is not demonstrated, weakening the internal consistency argument.",m: mass squared | : self-coupling | _G: grace coupling | STABLE/UNSTABLE: boundedness of numerical solution,coherent,yes,yes,numerical_stability_scan,COLAB_REPRODUCIBLE,B,preserve as numerical evidence; do not upgrade to formal proof,"The scan is numerical, not analytical; stability conclusions are limited to the sampled grid and integration time. | The claim of 'large margins' is qualitative and depends on grid resolution. | The notebook does not prove the chi-field exists; it only maps a model potential.",If the notebook cannot be rerun to reproduce the stability map. | If the canonical parameters are found to be near an instability boundary when using finer grids or longer integration times. | If the potential form is not the one used in the canonical model.,"Formalize the stability conditions for the chi-field potential analytically, if possible, to support the numerical findings.","This notebook scans the chi-field potential's parameter space to map stable and unstable regions. It finds the canonical parameters are stable with large margins, supporting internal consistency. However, the results are numerical and not formal proofs."
constraint_model.md,constraint_model,constraint_model.ipynb,"A strategy is admissible if and only if it satisfies all six constraint functions: justice, mercy, freewill, love, entropy, and holiness.","Constraint function: a function taking a strategy parameter vector and returning True/False based on threshold conditions. | Strategy parameter vector: a 10-dimensional vector with components payment_magnitude, cost_to_sinner, coercion_level, relational_access, negentropy_input, corruption_addressed, voluntary_by_redeemer, scope, permanence, source_is_external. | All-passed boolean: a boolean indicating whether all six constraint functions return True for a given parameter vector.","Given a strategy parameter vector, evaluate all six constraint functions and return the count of satisfied constraints and whether all are satisfied. Use optimization to search for parameter configurations that satisfy all constraints.",The notebook defines the constraint model and its evaluation framework; it does not apply the model to specific biblical strategies. | The constraint functions are deliberately simple and do not include hidden optimization or parameter tuning. | The notebook does not prove the uniqueness of the cross configuration; it claims verification by exhaustive search.,"For any parameter vector, the evaluation function returns the correct count and all-passed boolean. | The optimization search covers the specified parameter space and reports all configurations that satisfy all constraints. | The notebook's claim of uniqueness of the cross configuration is reproducible from the code and search results.",Python runtime with NumPy and Matplotlib (typical Colab environment) | The constraint functions defined in this notebook,Provides a reusable constraint satisfaction engine that can evaluate any strategy parameter vector against six constraints and search for admissible configurations.,Preserves the ability to evaluate strategies against the six constraints in a deterministic and reproducible manner.,"Without this notebook, the constraint model would lack a concrete implementation and the basis for test09 and free_body_model would be undefined.","Python functions: justice_constraint, mercy_constraint, freewill_constraint, love_constraint, entropy_constraint, holiness_constraint | Parameter vector schema: 10 parameters as listed",coherent,yes,unclear,methodology,PYTHON_RUNTIME_SUPPORTED,B,preserve as implementation artifact,"The claim that exhaustive search verifies uniqueness of the cross configuration may overstate if the search is not truly exhaustive over the continuous parameter space. | The constraint functions are described as simple but their thresholds are not specified in the document, making verification difficult.",If the constraint functions are not actually implemented as described. | If the optimization search does not cover the full parameter space as claimed.,Formalize the constraint functions and the search procedure in Lean to verify the uniqueness claim.,"This notebook defines a constraint satisfaction engine with six constraint functions over a 10-parameter strategy space. It evaluates strategies and searches for admissible configurations, claiming that only the cross configuration satisfies all constraints. It is a precursor to formal tests and is implemented in Python."
continuous_string_axiom_test_v0.md,continuous_string_axiom_test_v0,Continuous String Axiom Test v0,"If an action is aligned with destruction and is not restored, then it is not morally good and not aligned with good.",alignedWithDestruction: an action's alignment with destruction. | restored: the state is restored after the action. | moralGood: morally good action. | alignedWithGood: aligned with good.,"In the Lean formal system, enforce that any action aligned with destruction and not restored is excluded from moral goodness and alignment with good.","Does not prove the full Master Equation. | Does not identify gravity=grace, strong force=love, thermodynamics=judgment, coherence=Christ. | Does not prove all event systems are isomorphic. | Only applies within the toy model and the AxiomBundle assumptions.","Lean kernel-checked proof of destructive_unrestored_exclusion_chain. | No sorry, admit, axiom, or unsafe in the codebase. | Concrete model test toy_bad_action_excluded_by_chain passes.","AxiomBundle with 4 assumptions: destructive_degrades, good_preserves, good_alignment_is_moral, moral_good_repairs_damage. | Lean 4 environment with lake build.","Provides a kernel-checked theorem chain showing destructive non-restored actions are excluded from moral good and good alignment, with a concrete satisfiable model.",Preserves the existing AxiomBundle assumptions and the ability to build without errors.,"If the theorem or model are removed, the package still builds but lacks the demonstrated exclusion chain and concrete interpretation.",destructive_degrades -> degrades | good_preserves -> preserves | good_alignment_is_moral -> moralGood | moral_good_repairs_damage -> restores,coherent,yes,yes,formal theorem in a toy model,LEAN_FORMAL_PROOF,B,preserve as a verified formal theorem within its stated scope,"May be interpreted as proving more than the toy model allows. | The theorem is conditional on the 4 axioms, which are assumptions, not proven truths. | The concrete model is tiny and may not generalize.",If the Lean build is not reproducible. | If the no-sorry scan is not actually clean. | If the axioms are later found inconsistent.,Formalize the next EventSystem layer and prove structure-preserving mappings.,"This document reports a successful Lean formal proof of a theorem: in a toy model with four axioms, any action aligned with destruction and not restored is neither morally good nor aligned with good. It includes a concrete model to show satisfiability. The proof is kernel-checked with no sorry/admit/unsafe. It does not claim to prove the full Master Equation or any physical identifications."
drv-00-the-argument-REWRITE-v2.md,drv-00-the-argument-REWRITE-v2,DRV Argument-in-One-Page  -  REWRITE v2,"The Master Equation is the integrated product of ten typed factors, each with a fixed mathematical domain, and the distinction between the factor C and the output chi is structural.","G: external negentropy influx rate, domain R>=0 | M: alignment cosine between system state and reference vector, domain [-1,1] | E: signal propagation fidelity (channel capacity), domain R>=0 | S_prod: entropy production rate, enters as S_eff = e^{-eta S_prod}, domain R>=0 | T: temporal integration parameter, domain R>0 | K: information compression ratio (Kolmogorov), domain R>=0 | R: phase transition indicator, domain {0,1} | Q: superposition measure, domain [0,1] | F: non-local correlation strength, domain [0,1] | C: total integration measure, domain [0,1] | chi: integrated output, not a factor","Adopt the revised Master Equation with typed factors, enforce the C vs chi distinction, use the canonical two-asymmetry structure, mark the Lowe Lagrangian as provisional, and treat the K-Drop intelligence inference as named-contestable.",Does not assert the Lowe Lagrangian is Lean-verified. | Does not assert the five-pair fractal symmetry structure. | Does not claim 'Christ is coherence' as a formal identity; only as Asymmetry 2 reframing. | Does not claim the K-Drop intelligence inference is proven; it is named-contestable.,Check that all ten factors have the correct domains as per Definition 10. | Verify that chi is never used as a factor in the product. | Verify that S_eff is used in place of bare S in the Master Equation and Lagrangian. | Verify that the dV element is d^3x dt. | Verify that the Ten Laws table is replaced by the canonical Layer 2 bridge. | Verify that the Lowe Lagrangian is labeled provisional. | Verify that the K-Drop intelligence inference is marked named-contestable.,"FORMAL_VERIFICATION_PACKET_2026-05-10/ (Layer 1 lock, Definition 10, Axiom 3, Layer 2 doc)","Provides a corrected, type-consistent Master Equation with explicit domains, a clear C vs chi distinction, and a canonical two-asymmetry structure, enabling formal verification of the framework's core equation.","Preserves the original argument's intent: the Master Equation as integrated product, the physical-spiritual bridge, the K-Drop argument, and the open-system requirement.","Without this revision, the Master Equation would retain type-incompatible variable labels, the C vs chi confusion would persist, and the framework would fail the no-drift lock, undermining formal verification.",Formal Theory v1.0 Definition 10 | Formal Theory v1.0 Axiom 3 | Layer 2 Ten-Factor Table | Lean kernel verification status,coherent,yes,yes,revision/correction,NOT_ESTABLISHED,B,adopt as canonical revision with provisional flags,The Lowe Lagrangian is marked provisional but could be mistaken as verified. | The K-Drop intelligence inference is named-contestable but may be overstated if not clearly flagged. | The 'Christ is coherence' reframing could be seen as a bridge claim rather than a formal identity.,"If the Lean kernel does not verify the antitone property of S_eff, the entropy repair fails. | If the Layer 2 doc does not support the two-asymmetry structure, the bridge collapses. | If the C vs chi distinction is not maintained, the Master Equation becomes self-referential.",Formalize the Master Equation with typed factors and verify the antitone property of S_eff in Lean.,"This document revises the Master Equation and related sections to align with the May 10 canon, fixing type errors, adding the C vs chi distinction, and marking provisional elements. It is a load-bearing correction that must be adopted to maintain formal coherence."
drv-02-the-lock-REWRITE-v2.md,drv-02-the-lock-REWRITE-v2,DRV Book I  -  The Lock  -  REWRITE v2 (Phase 4.1 III),"The argument from properties of truth to the Logos is structured in six layers plus a central claim, with each layer having a distinct epistemic status. The framework's primitive axioms are exactly three: God-as-Axiom (Axiom 1), Trinity Isomorphism (Axiom 2), and Free Will (Axiom 3). All other items are theorems, derivations, definitions, or below-floor presuppositions.","Layer 0: Properties of Truth (P0.1 - P0.7)  -  below-floor presuppositions, not axioms. | Layer 1: Gdel-Chaitin Theorem  -  external inherited result. | Layer 2: Inferences 2.1 - 2.3  -  derivations from Theorem 1. | Layer 3: Source-Property Transmission Lemma  -  single lemma replacing four prior axioms. | Layer 4: Definitions 4.1 - 4.2  -  theological postulates. | Layer 5: Central Claim  -  math-moral unity, the thesis defended. | Layer 6: Definition 6.1 (Logos naming) and Axiom 1 (God-as-Axiom).","The framework should present the argument in the layered structure, with each layer's epistemic status explicit, and terminate at the Feb 14 floor without descending into divine mechanics.",Does not assert the seven properties as axioms; they are below-floor presuppositions. | Does not treat the Gdel-Chaitin theorem as an axiom of the framework. | Does not treat the Central Claim as an axiom; it is the thesis defended. | Does not exercise Axiom 2 (Trinity Isomorphism) in this series. | Does not push past the Feb 14 floor into divine mechanics.,"Check that each layer's epistemic status is correctly labeled (below-floor, theorem, inference, lemma, definition, central claim, axiom). | Verify that the three primitive axioms are exactly as listed. | Verify that the argument terminates at the Feb 14 floor without further descent. | Verify that the Central Claim is presented as the thesis, not as an input.","Formal Theory v1.0 (May 10, 2026 canon) | Gdel's Second Incompleteness Theorem | Chaitin's complexity bound | Feb 14 floor (Axiom 1, 2, 3)","Provides a reclassified, layered argument structure that distinguishes epistemic statuses, promoting the Central Claim and Axiom 1 while demoting seven properties to below-floor presuppositions.","Preserves the content of the original twenty axioms, but reclassifies them into layers with explicit epistemic statuses, maintaining the argument's conclusion at the Feb 14 floor.","If the reclassification is removed, the framework reverts to a flat-axiom structure that misrepresents the May 10 canon, causing epistemic confusion and undermining the formal taxonomy.",A1 - A7 -> P0.1 - P0.7 (below-floor properties) | A8 -> Theorem 1 (Gdel-Chaitin) | A9 - A11 -> Inferences 2.1 - 2.3 | A12 - A15 -> Lemma 3 (Source-Property Transmission) | A16 - A17 -> Definitions 4.1 - 4.2 | A18 -> Central Claim | A19 -> Definition 6.1 | A20 -> Axiom 1 (God-as-Axiom),coherent,yes,yes,theological_epistemic_reclassification,NOT_ESTABLISHED,C,archive,Claims that the reclassification is 'load-bearing' without formal proof. | Asserts that the Gdel-Chaitin theorem 'forces everything downstream' without detailed derivation. | Treats the Central Claim as defended without presenting the full argument in this document.,"If the May 10 canon is not accepted as authoritative, the reclassification loses its basis. | If the Gdel-Chaitin theorem is misapplied, the argument collapses. | If the Central Claim is shown to be unsupported by Layers 0 - 4, the framework's thesis fails.","Formal verification of the reclassification against the Formal Theory v1.0 canon, and a rigorous derivation of the Gdel-Chaitin implications.","This document is a rewrite of Section III of 'The Lock', reclassifying the original twenty axioms into a six-layer argument structure with distinct epistemic statuses. It promotes the math-moral unity to a Central Claim and the Logos identification to Axiom 1, while demoting seven properties to below-floor presuppositions. The rewrite is internally coherent but relies on the Formal Theory v1.0 canon and does not provide formal proof of the argument's validity."
F01_Existence.md,F01_Existence,Why Something Rather Than Nothing,"Something exists rather than nothing, and this is undeniable.","Existence: that which is not nothing; the state of being real. | Nothing: the absence of any existence; ontological nullity. | Distinguishability: the property of being different from something else, especially from nothing. | Information: the capacity to distinguish states; equivalently, distinguishability.","Treat P0.1 as the irreducible foundation. Reject any claim that denies existence or presupposes non-existence as a stable state. Use P0.1 to block nihilism, radical skepticism, and solipsism in discourse.",Does not derive existence from anything prior; existence is primitive. | Does not claim to explain why something exists; only that it does. | Does not assert the nature of what exists beyond distinguishability and intelligibility. | Does not claim that all existence is physical or material.,"Attempt to deny P0.1 without presupposing existence; if the denial requires a speaker/thinker/writer, the denial is self-refuting. | Check that any proposed 'nothing' is not actually something (e.g., quantum vacuum, imagined nothing). | Verify that any physical theory presupposes existence (e.g., wavefunctions, spacetime, fields).",,Provides an undeniable foundation for all subsequent axioms; blocks radical skepticism and nihilism at the root.,Establishes the minimal ontological commitment: something exists.,"Without P0.1, no other axiom can be asserted; the entire framework collapses into incoherence.",Ontological: x | Logical: self-refutation of denial | Physical: presupposed by all physical theories | Theological: 'I AM WHO I AM',coherent,yes,yes,foundational_axiom,NOT_ESTABLISHED,B,accept_as_axiom,"Claims 'undeniable' but proof is dialectical, not formal. | Equates distinguishability with information without rigorous definition. | Uses scripture as support, which is not a logical proof. | May overstate the self-refutation of solipsism (it concedes existence but not the rest).",A coherent model of non-existence that does not presuppose existence. | A meaningful predication of 'nothing' without existential presupposition. | A formal counterexample to the self-refutation argument.,"Formalize the self-refutation argument in a proof assistant (e.g., Lean) to establish LEAN_FORMAL_PROOF.","This document establishes the foundational axiom that something exists, arguing that any denial is self-refuting. It defines existence, nothing, distinguishability, and information, and derives that existence requires distinguishability which is information. The document is coherent as an axiom but lacks formal proof; it is admissible as a foundational axiom but should not be treated as proven beyond dialectical argument."
